
ALLOC_MEMORY alloc_memory
iSizeInBits size_in_bits
iSliceNum slice_num
iSlices slices
iSpatialIdx spatial_idx
iSpatialLayerNum spatial_layer_num
iSrc1Stride src_1stride
iSrc2Stride src_2stride
iSrcHeight src_height
iSrcLen src_len
iSrcStride src_stride
iSrcStrideY src_stridey
iSrcWidth src_width
iStride stride
iStride1 stride1
iStride2 stride2
iTarBitrate tar_bitrate
iTarDid tar_did
iTarLevel tar_level
iThreadIndex thread_index
iThreads threads
iType ty
iVersion version
iWidth width
in in_
inputFrame input_frame
inputImage input_image
isLost is_lost
kFileParamArray k_file_param_array
kLogStrings k_log_strings
kParamArray k_param_array
kiBlockSize ki_block_size
kiDstHeight ki_dst_height
kiDstStride ki_dst_stride
kiDstWidth ki_dst_width
kiFrameNum ki_frame_num
kiFrameRate ki_frame_rate
kiHeight ki_height
kiMinBufferNum ki_min_buffer_num
kiPartIdx ki_part_idx
kiPartNum ki_part_num
kiRefPicStride ki_ref_pic_stride
kiSlcIdx ki_slc_idx
kiSlcNumInPart ki_slc_num_in_part
kiSliceNum ki_slice_num
kiSrcHeight ki_src_height
kiSrcStride ki_src_stride
kiSrcWidth ki_src_width
kiStride ki_stride
kiThreadIdx ki_thread_idx
kiTotalLayer ki_total_layer
kiWidth ki_width
kpSrcPic kp_src_pic
kuiMvdTableMiddle kui_mvd_table_middle
kuiMvdTableStride kui_mvd_table_stride
kuiQp kui_qp
last_time_ last_time
length_ length
mCount count
mMutex mutex
mPtr ptr
mRefCount ref_count
m_CPUFlag cpu_flag
m_ComplexityAnalysisParam complexity_analysis_param
m_EncContext enc_context
m_P2PmodeFlag p2pmode_flag
m_SLostSim lost_sim
m_bNoSampleBuffer no_sample_buffer
m_cDetector detector
m_cTaskCountLock task_count_lock
m_eMethod method
m_fSceneChangeMotionRatioLarge scene_change_motion_ratio_large
m_fSceneChangeMotionRatioMedium scene_change_motion_ratio_medium
m_fSigmaGrey sigma_grey
m_iBufLength buf_length
m_iCPUFlag cpu_flag
m_iHeight height
m_iHeightExt height_ext
m_iMaxSearchBlock max_search_block
m_iMbHeight mb_height
m_iMbWidth mb_width
m_iMvRange mv_range
m_iMvdRange mvd_range
m_iNumDependencyLayers num_dependency_layers
m_iPicResSize pic_res_size
m_iStrideA stridea
m_iStrideB strideb
m_iTaskCount task_count
m_iUsageType usage_type
m_iWidth width
m_iWidthExt width_ext
m_pCtx ctx
m_pData data
m_pDec dec
m_pEncoder encoder
m_pFeatureSearchPreparation feature_search_preparation
m_pIntraFunc intra_func
m_pMa ma
m_pMvdCostTable mvd_cost_table
m_pPixSrcA pix_srca
m_pPixSrcB pix_srcb
m_pRefData ref_data
m_pRefStart ref_start
m_pSad sad
m_pSadFunc sad_func
m_pSampleBuffer sample_buffer
m_pScreenBlockFeatureStorage screen_block_feature_storage
m_pSpsArray sps_array
m_pSpsArrayPointer sps_array_pointer
m_pSrc src
m_pSrcBlock src_block
m_pSubsetArray subset_array
m_pSubsetArrayPointer subset_array_pointer
m_pWelsTrace wels_trace
m_pfDenoise pf_denoise
m_pfDownsample pf_downsample
m_pfGomSad pf_gom_sad
m_pfRotateImage pf_rotate_image
m_pfSad pf_sad
m_sBufferInfo buffer_info
m_sCalcParam calc_param
m_sComplexityAnalysisParam complexity_analysis_param
m_sDecParam dec_param
m_sLocalParam local_param
m_sParam param
m_sParserBsInfo parser_bs_info
m_sSceneChangeParam scene_change_param
m_sScrollDetectionParam scroll_detection_param
m_sVaaFuncs vaa_funcs
m_szBuffer sz_buffer
m_uiCpuFeatureFlag ui_cpu_feature_flag
m_uiID uiid
m_uiMvdCacheAlignedSize ui_mvd_cache_aligned_size
m_uiMvdInterTableSize ui_mvd_inter_table_size
m_uiMvdInterTableStride ui_mvd_inter_table_stride
m_uiMvdTableSize ui_mvd_table_size
m_uiSpaceRadius ui_space_radius
m_uiType ui_type
maxPayloadSize max_payload_size
max_payload_size_ max_payload_size
missingFrames missing_frames
nHashStr n_hash_str
nType n_type
newLen new_len
numberOfCores number_of_cores
onDecodeFrame on_decode_frame
onEncodeFrame on_encode_frame
outputData output_data
pBackgroundMbFlag background_mb_flag
pBsBuf bs_buf
pBsInfo bs_info
pBuf buf
pCalcRes calc_res
pCalcResult calc_result
pCfg cfg
pCoffLevel coff_level
pCtx ctx
pCurData cur_data
pCurDqLayer cur_dq_layer
pCurPixMap cur_pix_map
pCurY cury
pData data
pDct dct
pDctCompare dct_compare
pDecEncFileParam dec_enc_file_param
pDecoder decoder
pDst dst
pDstH dsth
pDstHV dsthv
pDstInfo dst_info
pDstPixMap dst_pix_map
pDstU dstu
pDstV dstv
pEncFileParam enc_file_param
pEncParamBase enc_param_base
pEncParamExt enc_param_ext
pEncoder encoder
pEncoderStatistics encoder_statistics
pEnxParamExt enx_param_ext
pFrameSad frame_sad
pFunc func
pGomComplexity gom_complexity
pGomForegroundBlockNum gom_foreground_block_num
pGomSad gom_sad
pIn in_
pLayerCfg layer_cfg
pLevel level
pLossChars loss_chars
pLossSequence loss_sequence
pLumaDc luma_dc
pMa ma
pMad8x8 mad8x8
pMbCorrectlyDecodedFlag mb_correctly_decoded_flag
pMe me
pMemAlign mem_align
pMotionTextureIndexToDeltaQp motion_texture_index_to_delta_qp
pMotionTextureUnit motion_texture_unit
pMvdCostTable mvd_cost_table
pOption option
pOut out
pParam param
pParamExt param_ext
pPix1 pix1
pPix2 pix2
pPixel pixel
pPointer pointer
pPred pred
pPtrEnc ptr_enc
pRef ref_
pRefData ref_data
pRefPic ref_pic
pRefPixMap ref_pix_map
pRefY refy
pRun run
pSad8x8 sad8x8
pSd8x8 sd8x8
pSink sink
pSrc src
pSrc1 src1
pSrc2 src2
pSrcBlock src_block
pSrcPic src_pic
pSrcPixMap src_pix_map
pSrcUV srcuv
pSrcY srcy
pSsd16x16 ssd_16x16
pStaticBlockIdc static_block_idc
pStride stride
pSum16x16 sum_16x16
pSumOfDiff8x8 sum_of_diff8x8
pSumOfSquare16x16 sum_of_square_16x16
pSumSquare16x16 sum_square_16x16
pTask task
pTotalCoeff total_coeff
pTraceInfo trace_info
pYUV pyuv
p_LTR_Marking_Feedback ltr_marking_feedback
p_LTR_Recover_Request ltr_recover_request
p_SLostSim lost_sim
p_dst dst
p_nlhs nlhs
p_y_data y_data
pfBilateralLumaFilter8 pf_bilateral_luma_filter8
pfEnc pf_enc
pfGeneralRatioChroma pf_general_ratio_chroma
pfGeneralRatioLuma pf_general_ratio_luma
pfGomSad pf_gom_sad
pfHalfAverageWidthx16 pf_half_average_widthx16
pfHalfAverageWidthx32 pf_half_average_widthx32
pfImageRotate180D pf_image_rotate180d
pfImageRotate270D pf_image_rotate270d
pfImageRotate90D pf_image_rotate90d
pfOneThirdDownsampler pf_one_third_downsampler
pfQuarterDownsampler pf_quarter_downsampler
pfVAACalcSad pf_vaa_calc_sad
pfVAACalcSadBgd pf_vaa_calc_sad_bgd
pfVAACalcSadSsd pf_vaa_calc_sad_ssd
pfVAACalcSadSsdBgd pf_vaa_calc_sad_ssd_bgd
pfVAACalcSadVar pf_vaa_calc_sad_var
pfWaverageChromaFilter8 pf_waverage_chroma_filter8
pkcFileName pkc_file_name
pkcHashStr pkc_hash_str
ppCtx pp_ctx
ppDst pp_dst
prepareEncDecParam prepare_enc_dec_param
prepareParam prepare_param
prepareParam0 prepare_param0
prepareParamDefault prepare_param_default
psqdiff16x16 psqdiff_16x16
psqsum16x16 psqsum_16x16
readU16BE readu16be
ref ref_
renderTimeMs render_time_ms
sAncPic anc_pic
sDownsampleFunc downsample_func
sDqLayer dq_layer
sEncParamBase enc_param_base
sFbi fbi
sFileName file_name
sFileSave file_save
sImageRotateFuncs image_rotate_funcs
sLocalParam local_param
sMaskRect mask_rect
sParam param
sRect rect
sScrollResult scroll_result
sSrcPic src_pic
sTargetMv target_mv
sTrace trace
sVaaFunc vaa_func
sVaaFuncs vaa_funcs
sWelsPic wels_pic
sliceSize slice_size
start_time_ start_time
stats_ stats
t_ t
type ty
type_ ty
ucBuf uc_buf
uiBytesPerPixel ui_bytes_per_pixel
uiMaxNalLen ui_max_nal_len
uiMotionIndex ui_motion_index
uiRefMbType ui_ref_mb_type
uiTextureIndex ui_texture_index
uiThreadsNum ui_threads_num
welsStderrTraceOrigin wels_stderr_trace_origin
worker_thread_ worker_thread

